ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
0,VIA PUBLICA,EJECUCIÓN DE PENAS,enero,2020-01-01,miércoles,17:45:00,PLOZADA,1403.0,Manuela Beltran,14,1,1900-01-01 17:45:00,18
1,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:30:00,PONAL_WS,1988.0,Cañaveralejo - Seguros Patria,19,5,1900-01-01 08:30:00,8
2,DOMICILIO,INDAGACIÓN,enero,2020-01-01,miércoles,02:00:00,CPANTOJAS1,1599.0,El Morichal,15,2,1900-01-01 02:00:00,2
3,DOMICILIO,INDAGACIÓN,enero,2020-01-01,miércoles,06:35:00,JVILLARREALM1,703.0,Alfonso Lopez III,7,3,1900-01-01 06:35:00,7
4,VIA PUBLICA,INDAGACIÓN,enero,2020-01-02,jueves,09:30:00,JVILLARREALM1,2008.0,Pueblo Joven,20,1,1900-01-01 09:30:00,10
5,DOMICILIO,INDAGACIÓN,enero,2020-01-01,miércoles,20:30:00,VAVILLEGAS,1783.0,Ciudad Capri,17,5,1900-01-01 20:30:00,20
6,CENTRO COMERCIAL,INDAGACIÓN,enero,2020-01-02,jueves,14:20:00,MPLAZA,311.0,San Pedro,3,3,1900-01-01 14:20:00,14
7,VIA PUBLICA,JUICIO,enero,2020-01-02,jueves,17:45:00,VIVCOLLA,1787.0,El Limonar,17,3,1900-01-01 17:45:00,18
8,DOMICILIO,EJECUCIÓN DE PENAS,enero,2020-01-02,jueves,15:35:00,HQUIÑONEZZ1,2003.0,Siloé,20,1,1900-01-01 15:35:00,16
9,LUGAR DE TRABAJO,INDAGACIÓN,enero,2020-01-02,jueves,00:00:00,LCALDERONR1,294.0,Vipasa,2,4,1900-01-01 00:00:00,0
10,OTRO,INDAGACIÓN,enero,2020-01-01,miércoles,09:00:00,HMONSALVEG1,2106.0,Desepaz Invicali,21,1,1900-01-01 09:00:00,9
11,DOMICILIO,INDAGACIÓN,enero,2020-01-02,jueves,05:48:00,HMONSALVEG1,1498.0,Promociones Populares B,14,1,1900-01-01 05:48:00,6
12,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,00:00:00,PONAL_WS,405.0,Manzanares,4,3,1900-01-01 00:00:00,0
13,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:30:00,PONAL_WS,303.0,San Antonio,3,3,1900-01-01 08:30:00,8
14,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,06:00:00,PONAL_WS,804.0,Rafael Uribe Uribe,8,2,1900-01-01 06:00:00,6
15,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,13:00:00,PONAL_WS,1013.0,Panamericano,10,3,1900-01-01 13:00:00,13
16,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,03:30:00,PONAL_WS,412.0,Guillermo Valencia,4,2,1900-01-01 03:30:00,4
17,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,20:30:00,PONAL_WS,1599.0,El Morichal,15,2,1900-01-01 20:30:00,20
18,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,21:30:00,PONAL_WS,602.0,Jorge Eliécer Gaitán,6,2,1900-01-01 21:30:00,22
19,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,03:00:00,PONAL_WS,908.0,Belalcázar,9,3,1900-01-01 03:00:00,3
20,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,13:00:00,PONAL_WS,1803.0,Los Chorros,18,3,1900-01-01 13:00:00,13
21,SIN INFORMACION,QUERELLABLE,enero,2020-01-02,jueves,07:00:00,PONAL_WS,698.0,Sector Puente del Comercio,6,2,1900-01-01 07:00:00,7
22,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,05:00:00,PONAL_WS,2106.0,Desepaz Invicali,21,1,1900-01-01 05:00:00,5
23,SIN INFORMACION,QUERELLABLE,enero,2020-01-01,miércoles,11:30:00,PONAL_WS,101.0,Terrón Colorado,1,2,1900-01-01 11:30:00,12
24,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,21:30:00,PONAL_WS,1305.0,Los Comuneros II Etapa,13,2,1900-01-01 21:30:00,22
25,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,19:00:00,PONAL_WS,903.0,Junín,9,3,1900-01-01 19:00:00,19
26,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,08:00:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 08:00:00,8
27,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,04:00:00,PONAL_WS,502.0,Los Andes,5,3,1900-01-01 04:00:00,4
28,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,01:00:00,PONAL_WS,205.0,Juanambú,2,5,1900-01-01 01:00:00,1
29,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,03:30:00,PONAL_WS,1810.0,Mario Correa Rengifo,18,2,1900-01-01 03:30:00,4
30,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,18:00:00,PONAL_WS,1780.0,El Ingenio,17,5,1900-01-01 18:00:00,18
31,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,19:30:00,PONAL_WS,2107.0,Compartir,21,2,1900-01-01 19:30:00,20
32,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,08:00:00,PONAL_WS,1009.0,Cristóbal Colón,10,3,1900-01-01 08:00:00,8
33,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,11:20:00,PONAL_WS,1015.0,San Cristóbal,10,3,1900-01-01 11:20:00,11
34,SIN INFORMACION,INDAGACIÓN,enero,2020-01-02,jueves,07:00:00,PONAL_WS,1903.0,El Lido,19,5,1900-01-01 07:00:00,7
35,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,18:00:00,PONAL_WS,311.0,San Pedro,3,3,1900-01-01 18:00:00,18
36,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,13:00:00,PONAL_WS,1803.0,Los Chorros,18,3,1900-01-01 13:00:00,13
37,SIN INFORMACION,INDAGACIÓN,enero,2020-01-01,miércoles,16:30:00,PONAL_WS,211.0,Prados del Norte,2,5,1900-01-01 16:30:00,16
